Date,Close,High,Low,Open,volumefrom,Volume,conversionType,conversionSymbol
2021-01-01 00:00:00,1.544,1.544,1.499,1.507,56894.22,86596.94,force_direct,
2021-01-01 01:00:00,1.573,1.61,1.532,1.544,256745.01,406540.39,force_direct,
2021-01-01 02:00:00,1.587,1.591,1.571,1.573,53278.27,84370.04,force_direct,
2021-01-01 03:00:00,1.603,1.606,1.582,1.587,36968.0,58935.54,force_direct,
2021-01-01 04:00:00,1.602,1.608,1.589,1.603,46602.17,74409.91,force_direct,
2021-01-01 05:00:00,1.603,1.618,1.582,1.602,126437.05,202139.22,force_direct,
2021-01-01 06:00:00,1.626,1.632,1.603,1.603,173511.78,281516.29,force_direct,
2021-01-01 07:00:00,1.62,1.641,1.613,1.626,128387.39,208846.79,force_direct,
2021-01-01 08:00:00,1.605,1.62,1.57,1.62,69466.55,110885.73,force_direct,
2021-01-01 09:00:00,1.578,1.62,1.574,1.605,72983.37,115866.77,force_direct,
2021-01-01 10:00:00,1.633,1.649,1.576,1.578,179587.53,290474.82,force_direct,
2021-01-01 11:00:00,1.627,1.637,1.606,1.633,136686.82,221597.46,force_direct,
2021-01-01 12:00:00,1.6,1.645,1.587,1.627,258836.1,416949.93,force_direct,
2021-01-01 13:00:00,1.603,1.613,1.581,1.6,115773.85,184774.85,force_direct,
2021-01-01 14:00:00,1.642,1.647,1.593,1.603,120772.56,196486.01,force_direct,
2021-01-01 15:00:00,1.646,1.658,1.624,1.642,156363.42,257344.37,force_direct,
2021-01-01 16:00:00,1.656,1.675,1.624,1.646,145366.46,239802.98,force_direct,
2021-01-01 17:00:00,1.676,1.734,1.615,1.656,309085.65,518336.08,force_direct,
2021-01-01 18:00:00,1.757,1.833,1.659,1.676,730252.34,1279161.08,force_direct,
2021-01-01 19:00:00,1.726,1.812,1.714,1.757,373373.75,655627.76,force_direct,
2021-01-01 20:00:00,1.769,1.816,1.714,1.726,288512.15,513877.43,force_direct,
2021-01-01 21:00:00,1.765,1.778,1.724,1.769,222659.23,389226.67,force_direct,
2021-01-01 22:00:00,1.804,1.811,1.762,1.765,115000.37,204984.69,force_direct,
2021-01-01 23:00:00,1.842,1.86,1.786,1.804,248447.41,456035.01,force_direct,
2021-01-02 00:00:00,1.778,1.849,1.724,1.842,421349.99,751798.86,force_direct,
2021-01-02 01:00:00,1.848,1.859,1.737,1.778,317796.13,568512.6,force_direct,
2021-01-02 02:00:00,1.816,1.902,1.81,1.848,349657.04,648226.91,force_direct,
2021-01-02 03:00:00,1.861,1.907,1.808,1.816,221658.2,414081.73,force_direct,
2021-01-02 04:00:00,1.836,1.863,1.819,1.861,109344.14,200823.58,force_direct,
2021-01-02 05:00:00,1.793,1.841,1.786,1.836,161835.74,293667.35,force_direct,
2021-01-02 06:00:00,1.766,1.815,1.763,1.793,171755.54,306813.06,force_direct,
2021-01-02 07:00:00,1.752,1.788,1.745,1.766,175846.55,310774.46,force_direct,
2021-01-02 08:00:00,1.759,1.786,1.746,1.752,196198.3,345754.14,force_direct,
2021-01-02 09:00:00,1.722,1.795,1.721,1.759,192869.87,337836.83,force_direct,
2021-01-02 10:00:00,1.744,1.772,1.716,1.722,117203.03,205462.07,force_direct,
2021-01-02 11:00:00,1.766,1.778,1.744,1.744,97707.34,171812.47,force_direct,
2021-01-02 12:00:00,1.805,1.815,1.712,1.766,306678.48,538365.33,force_direct,
2021-01-02 13:00:00,1.796,1.855,1.78,1.805,320485.03,583340.94,force_direct,
2021-01-02 14:00:00,1.776,1.802,1.744,1.796,130162.15,229788.59,force_direct,
2021-01-02 15:00:00,1.779,1.8,1.752,1.776,88193.4,156714.04,force_direct,
2021-01-02 16:00:00,1.801,1.817,1.75,1.779,140612.81,248809.4,force_direct,
2021-01-02 17:00:00,1.921,1.921,1.801,1.801,277601.34,518582.42,force_direct,
2021-01-02 18:00:00,1.891,2.0,1.872,1.921,613344.15,1188671.33,force_direct,
2021-01-02 19:00:00,1.918,1.929,1.867,1.891,120533.42,228634.44,force_direct,
2021-01-02 20:00:00,1.773,1.921,1.76,1.918,353467.56,644877.78,force_direct,
2021-01-02 21:00:00,1.821,1.833,1.751,1.773,151401.93,273169.76,force_direct,
2021-01-02 22:00:00,1.805,1.821,1.78,1.821,103685.64,185947.42,force_direct,
2021-01-02 23:00:00,1.8,1.821,1.765,1.805,114431.84,205515.17,force_direct,
2021-01-03 00:00:00,1.809,1.83,1.797,1.8,75115.66,136308.37,force_direct,
2021-01-03 01:00:00,1.805,1.849,1.801,1.809,49832.71,90814.15,force_direct,
2021-01-03 02:00:00,1.922,1.934,1.8,1.805,198065.94,370375.41,force_direct,
2021-01-03 03:00:00,1.946,1.95,1.88,1.922,209867.59,403251.31,force_direct,
2021-01-03 04:00:00,1.967,1.98,1.914,1.946,259611.34,507199.39,force_direct,
2021-01-03 05:00:00,1.964,1.982,1.935,1.967,189076.16,371132.16,force_direct,
2021-01-03 06:00:00,2.082,2.1,1.961,1.964,401888.39,818542.58,force_direct,
2021-01-03 07:00:00,2.071,2.1,2.043,2.082,190686.91,394502.15,force_direct,
2021-01-03 08:00:00,2.23,2.277,2.064,2.071,831623.58,1827349.77,force_direct,
2021-01-03 09:00:00,2.156,2.3,2.136,2.23,760306.9,1699878.88,force_direct,
2021-01-03 10:00:00,2.22,2.26,2.137,2.156,253010.93,554107.33,force_direct,
2021-01-03 11:00:00,2.266,2.38,2.211,2.22,626315.87,1448461.28,force_direct,
2021-01-03 12:00:00,2.247,2.338,2.235,2.266,309760.1,706031.45,force_direct,
2021-01-03 13:00:00,2.095,2.259,2.077,2.247,731383.7,1571182.75,force_direct,
2021-01-03 14:00:00,2.062,2.121,1.999,2.095,693208.33,1421867.15,force_direct,
2021-01-03 15:00:00,2.074,2.1,1.989,2.062,297644.25,612761.83,force_direct,
2021-01-03 16:00:00,1.978,2.111,1.962,2.074,397616.0,813492.06,force_direct,
2021-01-03 17:00:00,1.97,2.006,1.894,1.978,518889.23,1015564.34,force_direct,
2021-01-03 18:00:00,1.995,2.002,1.944,1.97,163154.65,321266.12,force_direct,
2021-01-03 19:00:00,1.964,2.0,1.95,1.995,133944.41,264016.34,force_direct,
2021-01-03 20:00:00,2.009,2.011,1.947,1.964,129706.4,256344.8,force_direct,
2021-01-03 21:00:00,2.021,2.059,1.998,2.009,213434.51,433247.71,force_direct,
2021-01-03 22:00:00,2.076,2.081,2.002,2.021,178703.9,366161.78,force_direct,
2021-01-03 23:00:00,2.178,2.185,2.065,2.076,505493.67,1078814.0,force_direct,
